Player,Team,Position,Age,Market value,Contract expires,Matches played,Minutes played,Goals,xG,Birth country,Passport country,Foot,Height,Weight,On loan
P. Lima,Wanderers,"RCMF, LCMF",35,400000,,33,2817,2,2.35,Uruguay,"Uruguay, Italy",right,181,80,no
M. Gómez,Nacional,CF,29,0,2026-12-31,30,2817,12,10.22,Uruguay,Uruguay,right,186,91,no
E. da Silva,Racing,"CF, RWB, RWF",24,325000,2025-12-31,33,2793,6,6.95,Uruguay,Uruguay,right,168,0,no
J. Neris,Torque,CF,25,0,2025-12-31,34,2762,16,18.59,Uruguay,Uruguay,right,183,82,yes
F. Perdomo,Liverpool,RB,26,0,2027-12-31,32,2749,0,0.17,Uruguay,Uruguay,right,174,64,no
J. Urretaviscaya,Juventud,"AMF, CF",35,200000,,33,2726,2,3.74,Uruguay,"Uruguay, Spain",right,172,64,no
N. López,Nacional,"CF, AMF",32,2000000,2026-12-31,35,2723,21,16.71,Uruguay,Uruguay,left,177,72,no
I. Sosa,Peñarol,"RDMF, LDMF, LCMF",22,0,2029-06-30,33,2723,2,2.35,Uruguay,Uruguay,right,175,70,no
L. Sanseviero,Danubio,"RW, RAMF, CF",25,0,2025-12-31,35,2710,5,6.45,Uruguay,Uruguay,right,180,72,no
A. Rodríguez,Juventud,CF,27,0,2027-12-31,31,2694,18,17.08,Uruguay,Uruguay,right,184,0,no
J. Ayala,Miramar Misiones,"CB, RCB, LCB",30,350000,,27,2673,4,2.51,Uruguay,Uruguay,right,187,74,no
E. Velázquez,Danubio,LCB,31,300000,2025-12-31,29,2671,1,1.49,Uruguay,Uruguay,right,184,79,no
M. Vera,Boston River,"DMF, LDMF, LCMF",27,250000,,30,2669,0,1.43,Argentina,Argentina,left,180,73,no
P. Siles,Torque,"DMF, RCMF, LCMF",28,350000,2026-12-31,35,2665,1,0.48,Uruguay,Uruguay,right,175,68,no
J. Méndez,Peñarol,RCB,30,600000,,31,2665,2,2.01,Uruguay,Uruguay,right,184,83,no
P. Milans,Peñarol,RB,23,0,2025-12-31,31,2643,0,0.83,Uruguay,Uruguay,right,171,69,no
R. Peralta,Juventud,"LCMF, LW",22,0,2027-12-31,36,2640,1,2.64,Argentina,Argentina,right,170,64,no
M. Olivera,Peñarol,LB,33,750000,,30,2613,6,3.18,Uruguay,"Uruguay, Spain",left,185,72,no
A. Colombino,Progreso,"DMF, RDMF, RCMF",32,300000,,29,2584,1,0.29,Uruguay,Uruguay,right,177,74,no
A. Di Pippa,Cerro Largo,"RCB, LCB",25,0,2025-12-31,31,2569,1,1.89,Argentina,Argentina,right,179,75,no
A. Pinheiro,Progreso,"RB, RCMF, DMF",23,0,2025-12-31,34,2565,1,0.76,Uruguay,Uruguay,,0,0,no
F. Correa,River Plate,GK,24,250000,2025-12-31,26,2565,1,0.76,Uruguay,Uruguay,right,189,82,no
A. Amado,Boston River,"RCMF, RDMF",24,400000,,32,2541,0,1.07,Uruguay,Uruguay,right,173,68,no
G. Nápoli,Liverpool,LCMF,25,1500000,2026-12-31,34,2536,0,3.49,Uruguay,Uruguay,left,178,67,yes
F. Martínez,Boston River,LB,24,300000,2025-12-31,28,2535,0,0.03,Uruguay,Uruguay,left,170,68,no
J. Cruz de los Santos,Nacional,"LW, LAMF",22,0,2027-12-31,31,2533,5,4.66,Uruguay,Uruguay,left,174,72,no
N. Herrera,Peñarol,"LCB, RCB",20,0,2027-12-31,28,2524,1,0.54,Uruguay,Uruguay,right,186,85,no
E. Larrosa,Cerro,CF,24,300000,,29,2490,9,8.24,Uruguay,Uruguay,left,185,75,yes
J. Acosta,Boston River,RB,32,300000,,29,2485,1,0.9,Uruguay,Uruguay,right,174,70,no
H. Ruíz Díaz,Plaza Colonia,LCB,33,300000,,26,2460,3,1.3,Uruguay,Uruguay,right,179,70,no
W. Nunez,Torque,"LWF, LW, CF",22,0,2027-12-31,35,2458,5,4.64,Argentina,Argentina,right,177,0,no
M. González,Danubio,"RCB, RB",22,0,2025-12-31,26,2447,3,1.58,Uruguay,Uruguay,right,183,77,no
A. Teuten,Wanderers,"LWB, LB",27,500000,,32,2442,0,0.77,Uruguay,"Uruguay, England",left,173,72,no
M. Villar,Cerro,LCB,24,0,2026-12-31,28,2431,0,0.29,Argentina,Argentina,left,192,86,yes
S. Fernández,Danubio,CF,40,25000,,36,2427,9,6.58,Uruguay,"Uruguay, Spain",right,171,69,no
M. Gómez,Miramar Misiones,"RWB, RB",33,200000,,31,2424,2,1.88,Uruguay,Uruguay,right,178,70,no
G. Bueno,Racing,"CB, RCB",40,10000,,29,2411,0,0.45,Uruguay,"Uruguay, Italy",right,183,74,no
N. Furtado,Defensor Sporting,RB,27,750000,,28,2405,1,0.56,Uruguay,Uruguay,right,168,63,no
G. Trasante,Progreso,RB,26,200000,2025-12-31,32,2403,0,0.71,Uruguay,Uruguay,right,177,79,no
N. Fernández,Progreso,"LW, AMF, RW",22,0,2026-12-31,35,2402,4,3.32,Uruguay,Uruguay,,0,0,no
J. Ramos,Plaza Colonia,LB,29,650000,,30,2399,1,1.91,Uruguay,"Uruguay, Italy",left,179,72,no
S. Romero,Danubio,"RCMF, LCMF, DMF",35,200000,,30,2394,3,2.08,Uruguay,Uruguay,right,174,71,no
