Player,Team,Team within selected timeframe,Position,Age,Market value,Matches played,Minutes played,Duels per 90,"Duels won, %",Foot,Height,Successful defensive actions per 90,Defensive duels per 90,"Defensive duels won, %",Aerial duels per 90,"Aerial duels won, %",Sliding tackles per 90,Shots blocked per 90,Interceptions per 90,PAdj Interceptions,Fouls per 90,Successful attacking actions per 90,Goals per 90,Non-penalty goals per 90,xG per 90,Head goals per 90,Shots per 90,"Shots on target, %","Goal conversion, %",Assists per 90,Crosses per 90,"Accurate crosses, %",Dribbles per 90,"Successful dribbles, %",Offensive duels per 90,"Offensive duels won, %",Touches in box per 90,Progressive runs per 90,Accelerations per 90,Received passes per 90,Received long passes per 90,Fouls suffered per 90,Passes per 90,"Accurate passes, %",Forward passes per 90,"Accurate forward passes, %","Accurate short / medium passes, %",Long passes per 90,"Accurate long passes, %",xA per 90,Shot assists per 90,Second assists per 90,Third assists per 90,Smart passes per 90,Key passes per 90,Passes to final third per 90,"Accurate passes to final third, %",Passes to penalty area per 90,"Accurate passes to penalty area, %",Through passes per 90,"Accurate through passes, %",Deep completions per 90,Deep completed crosses per 90,Progressive passes per 90,"Accurate progressive passes, %",Free kicks per 90,Direct free kicks per 90,"Direct free kicks on target, %",Corners per 90,Penalties taken,"Penalty conversion, %"
M. Termanini,Al Shamal,Al Shamal,"RCB, LCB",27,350000,10,806,8.6,58.44,right,185,7.48,4.47,67.5,2.12,36.84,0.67,0.22,3.8,5.83,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.56,40,0.11,0.89,0,31.6,0.33,0.22,43.77,86.48,17.08,71.24,92.1,7.03,57.14,0,0,0,0,0,0,4.13,64.86,0.11,0,0.33,33.33,0,0,8.04,62.5,0,0,0,0,0,0
Álex Collado,Al Shamal,Al Shamal,"RAMF, AMF, RCMF",26,2300000,10,804,18.02,47.2,left,177,4.81,4.81,62.79,0.9,12.5,0,0.11,1.79,2.77,0.9,4.37,0.22,0.22,0.12,0,2.35,38.1,9.524,0.22,2.13,47.37,4.59,53.66,10.97,42.86,1.57,3.92,0.11,26.64,1.01,1.57,33.47,84.62,10.63,69.47,89.49,2.57,60.87,0.14,1.57,0.11,0.11,0.11,0.45,5.04,71.11,3.02,48.15,0.56,20,1.01,0.78,4.48,80,1.34,0.11,0,2.91,0,0
A. Gunnarsson,Al Gharafa,Al Gharafa,"DMF, LCMF, RDMF",36,300000,10,798,9.36,56.63,right,177,5.41,4.62,51.22,1.35,66.67,0.23,0.23,2.82,4.19,1.13,0.34,0.11,0.11,0.02,0,0.23,100,50,0,0,0,0.23,50,1.69,46.67,0.23,0.68,0,24.47,0.23,0.79,33.83,89.33,12.29,81.65,93.8,4.74,61.9,0.01,0.23,0,0,0,0,5.08,68.89,1.13,40,0.45,75,0.56,0,5.75,88.24,0,0,0,0,0,0
A. Assal,Al Wakrah,Al Wakrah,"RAMF, LAMF, LW",23,600000,10,796,18.66,41.82,right,162,4.75,5.88,61.54,1.13,0,0,0,1.13,1.95,1.36,3.17,0.11,0.11,0.25,0,1.81,37.5,6.25,0,1.7,33.33,4.07,47.22,9.27,32.93,3.39,2.37,0.23,13.45,1.24,1.02,15.83,83.57,2.49,59.09,90.32,0.11,0,0.09,1.02,0.11,0,0,0.45,1.02,55.56,1.36,33.33,0,0,0.9,0.57,1.58,78.57,0,0,0,0.34,0,0
M. Omar,Al Shamal,Al Shamal,"RAMF, RW, LAMF",21,0,9,793,16.23,50.35,both,164,5.67,4.77,76.19,1.13,60,0.57,0.11,1.48,2.09,0.45,3.63,0.34,0.34,0.25,0,1.7,53.33,20,0.57,1.82,37.5,3.63,56.25,8.06,42.25,3.18,2.5,0,15.09,2.38,1.02,19.86,76,4.09,66.67,82.12,1.02,33.33,0.24,1.36,0,0.11,0.11,1.25,1.7,66.67,3.06,51.85,0.34,66.67,1.82,0.57,2.95,76.92,0,0,0,0.11,0,0
O. Ebrahimi,Al Shamal,Al Shamal,"RDMF, DMF, LDMF",38,150000,10,783,11.03,50,right,178,7.47,5.98,57.69,1.72,46.67,0.57,0.46,3.45,4.97,1.26,0.23,0.11,0,0.12,0,0.57,20,20,0,0.11,0,0.11,100,1.15,70,0.57,0.8,0,32.99,0,0.46,46.67,88.67,13.1,76.32,91.04,5.52,72.92,0.02,0.69,0,0.11,0,0.11,7.36,79.69,0.92,37.5,0,0,0.23,0,5.63,71.43,0,0,0,0.11,1,100
Abdulrahman Mohamed,Al Sailiya,Al Sailiya,"LDMF, AMF, RDMF",22,0,9,781,19.94,45.66,right,173,10.72,9.91,56.98,1.38,41.67,1.27,0.58,3.8,4.42,2.19,1.04,0,0,0.03,0,0.81,14.29,0,0,0.35,33.33,1.5,53.85,6.68,37.93,0.46,0.69,0,12.56,0.35,1.61,22.36,73.2,8.87,64.94,80.25,3.92,44.12,0.04,0.58,0,0,0.12,0.23,5.07,61.36,0.81,42.86,0.58,20,0.35,0.12,5.19,66.67,0,0,0,0,0,0
B. Burke,Al Duhail,Al Duhail,GK,23,0,8,780,0.58,60,unknown,185,1.62,0.23,0,0.23,100,0,0,1.62,2.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.12,100,0,0,0,14.65,0.69,0.12,19.62,84.71,9,75.64,95.45,6.81,66.1,0,0,0,0,0,0,0.58,40,0,0,0,0,0,0,4.85,54.76,,,,0,0,0
A. Laïdouni,Al Wakrah,Al Wakrah,"LDMF, AMF, RCMF",28,6000000,8,775,14.63,56.35,right,184,6.04,3.95,55.88,2.44,38.1,0.46,0.35,3.37,5.54,1.74,2.9,0,0,0.11,0,0.81,28.57,0,0.12,1.86,56.25,1.86,81.25,6.62,66.67,1.28,2.09,0,28.68,1.05,2.44,40.06,83.19,14.52,80,86.96,3.72,62.5,0.13,1.16,0.23,0,0.23,0.93,7.55,76.92,3.48,66.67,0.7,66.67,1.86,0.7,8.01,88.41,0,0,0,0,0,0
Eisa Ahmed,Qatar SC,Qatar SC,LB,26,275000,8,772,12.24,58.1,left,177,7.46,6.06,63.46,1.87,62.5,0.12,0.12,3.5,5.23,1.28,1.28,0,0,0,0,0.35,33.33,0,0.12,2.1,33.33,0.82,57.14,2.91,44,0,1.4,0.12,20.75,1.28,0.93,31.48,75.56,15.51,75.19,84.21,5.01,51.16,0.07,0.58,0,0,0,0.35,5.71,65.31,2.1,38.89,0,0,0.12,0.7,8.16,72.86,0.12,0,0,0,0,0
Y. Ballan Al Raeesi,Al Shahaniya,Al Shahaniya,"RB, LB",28,0,8,770,12.16,60.58,right,172,8.88,7.6,64.62,0.82,28.57,0.47,0.23,3.51,4.48,0.82,0.58,0,0,0,0,0,0,0,0,1.29,27.27,0.47,50,2.69,47.83,0,0.35,0.12,21.04,1.17,1.52,30.16,71.71,15.19,60,80.3,5.73,46.94,0.01,0.23,0,0,0,0,3.97,41.18,1.4,66.67,0.47,25,0.58,0.35,7.71,51.52,0,0,0,0,0,0
Musab Khoder,Al Shamal,Al Shamal,"RB, RAMF",32,250000,10,768,11.13,60,right,166,8.91,6.21,66.04,1.76,60,0.47,0.12,4.34,6.03,0.59,1.41,0,0,0.02,0,0.12,0,0,0,1.52,46.15,1.52,46.15,2.46,42.86,1.05,0.47,0,17.34,1.41,0.59,26.72,81.58,6.91,69.49,84.97,2.93,68,0.06,0.23,0,0,0,0.12,1.88,62.5,1.29,45.45,0,0,0.23,0.47,4.45,65.79,0,0,0,0,0,0
Dame Traoré,Al Gharafa,Al Gharafa,"LCB, RCB",39,75000,9,750,5.28,61.36,right,188,4.44,2.52,61.9,1.08,55.56,0.12,0.48,2.76,4.29,0.48,0.24,0.12,0.12,0.02,0.12,0.24,50,50,0,0.12,100,0,0,0.36,33.33,0.6,0.24,0,24.84,0.72,0.12,32.76,90.48,13.56,85.84,94.67,3.36,53.57,0,0,0,0,0,0,2.4,60,0.12,100,0.12,0,0,0.12,4.68,69.23,0,0,0,0,0,0
Giovani,Al Sadd,Al Sadd,"RAMF, RW",21,8000000,9,747,15.54,47.29,left,184,3.61,4.94,43.9,0.24,0,0,0.12,1.45,2.57,1.93,6.87,0.48,0.48,0.4,0,3.01,56,16,0.12,2.89,33.33,6.14,68.63,9.28,53.25,4.94,3.61,0.48,19.04,2.89,0.84,23.98,74.37,4.1,76.47,80.7,0.48,50,0.07,1.08,0,0,0.12,0.72,0.36,33.33,3.73,45.16,0.24,0,1.57,0.96,2.77,86.96,0,0,0,0.48,0,0
Ahmed Al Ganehi,Al Gharafa,Al Gharafa,"RW, RAMF, RWF",25,450000,8,737,14.9,42.62,right,178,6.23,4.27,65.71,0.98,37.5,0.12,0,3.3,4.94,0.37,2.2,0.24,0.24,0.27,0,1.83,46.67,13.333,0,1.59,30.77,2.2,38.89,8.43,30.43,2.2,1.83,0.37,22.84,1.95,1.47,29.55,83.06,5.86,70.83,86.32,2.2,77.78,0.02,0.49,0,0,0.12,0.12,2.44,70,1.83,33.33,0.12,0,0.49,0.61,2.93,70.83,0,0,0,0,0,0
Ahmed Al Minhali,Al Rayyan,Al Rayyan,LB,26,0,10,736,15.9,50,,0,6.85,7.09,58.62,1.59,46.15,0.49,0.12,2.2,3.55,1.83,1.1,0,0,0.01,0,0.24,0,0,0,2.57,14.29,1.35,54.55,4.89,35,0.49,2.08,0.12,23.23,3.42,2.08,31.43,71.98,12.6,61.17,79.28,1.83,40,0,0.12,0,0,0.24,0,3.79,45.16,3.55,31.03,0.49,25,0.86,0.37,6.6,59.26,0,0,0,0,0,0
M. Benyettou,Al Sailiya,Al Sailiya,CF,36,0,10,734,17.41,40.85,right,186,2.57,1.59,69.23,6.25,43.14,0,0.12,1.47,1.69,0.61,1.96,0.12,0.12,0.26,0,1.84,33.33,6.667,0.12,1.1,22.22,1.59,61.54,6.5,33.96,2.7,1.47,0.12,10.67,2.21,1.35,14.71,73.33,3.07,60,78.85,0.98,62.5,0.04,0.25,0,0,0.12,0.37,1.84,73.33,0.86,28.57,0.25,50,0.49,0.37,1.59,69.23,0.12,0.12,0,0,1,0
Roberto Firmino,Al Sadd,Al Sadd,"CF, AMF",34,8000000,9,730,12.82,44.23,right,181,3.7,3.82,51.61,2.71,31.82,0.25,0,1.48,2.45,1.11,2.96,0.74,0.74,0.48,0.25,2.71,50,27.273,0.12,0.74,16.67,1.48,83.33,4.81,51.28,4.81,1.73,0.12,21.7,1.97,0.25,27,84.02,8.51,82.61,87.25,1.23,50,0.19,1.23,0.12,0,0.37,0.74,2.71,77.27,2.22,66.67,0.74,50,1.85,0.12,4.07,84.85,0,0,0,0,0,0
A. Boulbina,Al Duhail,Al Duhail,"LAMF, LW, RAMF",22,0,10,725,17.63,46.48,right,0,3.23,4.59,45.95,0.74,33.33,0,0,1.12,1.91,1.37,6.08,0.25,0.12,0.49,0,3.48,39.29,7.143,0.5,3.35,40.74,5.21,64.29,10.8,50.57,4.97,3.85,0.12,24.58,3.23,1.37,31.41,79.05,4.22,70.59,84.65,3.1,72,0.2,1.49,0.12,0.25,0,0.87,2.11,82.35,2.73,50,0.12,100,1.37,1.37,3.97,78.13,0.12,0.12,0,0.62,2,50
Abdulrahman Fayez Al Rashidi,Umm Salal,Umm Salal,"RB, LB",31,200000,8,706,18.23,49.65,right,177,10.45,8.41,59.09,2.55,30,0.13,0.51,5.35,6.85,1.27,0.38,0,0,0,0,0,0,0,0,0.38,33.33,0.51,50,4.72,43.24,0.25,0.76,0.25,12.62,0.38,1.91,21.03,83.03,9.05,70.42,87.76,1.91,46.67,0.04,0.25,0,0,0.13,0,2.68,66.67,0.64,40,0,0,0,0.13,4.46,65.71,0,0,0,0,0,0
J. Murillo,Al Shamal,Al Shamal,LCB,33,800000,7,706,8.54,71.64,right,182,7.01,4.08,65.63,2.68,80.95,0.51,0.38,3.82,5.23,0.76,0.25,0,0,0.1,0,0.51,25,0,0,0,0,0.13,100,0.64,80,0.51,0.25,0,29.07,0.64,0.51,38.63,84.49,15.93,72.8,92.05,8.16,56.25,0,0,0,0,0,0,6.12,60.42,0.25,50,0.38,33.33,0.13,0,9.43,74.32,0,0,0,0,0,0
Edmílson Junior,Al Duhail,Al Duhail,"RAMF, LAMF, RW",31,2000000,9,703,13.57,49.06,right,182,3.71,3.71,62.07,0.64,40,0.26,0,1.15,2.05,1.28,4.86,0.26,0.26,0.21,0,1.66,30.77,15.385,0,5.12,35,4.74,54.05,8.58,41.79,2.69,1.79,0,32.52,5.38,1.02,39.43,83.12,6.91,81.48,92.06,2.18,64.71,0.34,2.56,0,0,0,1.15,2.56,70,3.97,48.39,0.13,0,1.28,1.79,4.48,91.43,0.26,0,0,2.18,1,0
Luis Alberto,Al Duhail,Al Duhail,"AMF, CF",33,11000000,8,701,10.01,46.15,right,183,2.18,2.7,47.62,0.77,33.33,0.26,0,0.64,1.08,0.13,2.18,0.64,0.64,0.26,0,3.08,37.5,20.833,0,2.05,18.75,1.03,50,5.01,48.72,4.49,3.98,0.64,37.87,1.41,1.16,44.68,82.18,17.46,78.68,86.64,3.21,68,0.3,1.93,0.39,0.26,0.39,0.77,8.73,75,5.14,57.5,1.03,50,3.08,0.39,9.37,86.3,0.39,0.13,0,2.57,0,0
Jang Hyun-Soo,Al Gharafa,Al Gharafa,"RCB, CB, LCB",34,650000,9,694,5.06,58.97,right,187,5.97,2.07,56.25,1.69,61.54,0.13,0.39,4.67,6.75,0.78,0,0,0,0,0,0,0,0,0,0.13,0,0,0,0.52,75,0.13,0.13,0,37.22,0,0.52,49.54,89.79,17.12,78.03,95.68,7.39,57.89,0,0,0,0,0,0,4.15,59.38,0.26,0,0.13,0,0,0,7,62.96,0,0,0,0,0,0
D. Diakité,Al Shahaniya,Al Shahaniya,LB,21,0,8,691,16.15,48.39,,182,8.73,7.55,53.45,1.43,45.45,0.39,0.39,4.3,5.5,1.04,2.21,0,0,0,0,0,0,0,0,2.08,50,1.56,75,6.12,44.68,0,1.56,0.13,21.62,0.91,0.78,35.3,74.17,17.45,66.42,80.09,5.08,51.28,0.02,0.52,0,0,0,0.26,4.56,51.43,2.6,45,0.13,100,0.39,0.91,8.08,59.68,0,0,0,0,0,0
M. Olunga,Al Arabi,Al Arabi,CF,31,9000000,8,690,11.61,38.2,left,193,1.96,2.09,56.25,4.17,37.5,0,0.13,0.78,1.26,1.7,2.09,0.78,0.78,0.3,0.39,2.61,55,30,0,0.26,0,1.17,55.56,2.74,38.1,4.83,1.04,0.13,10.43,1.43,0.26,13.04,74,1.04,25,76.92,0.91,57.14,0.06,0.52,0,0,0,0.13,0.78,50,0.26,50,0,0,0.52,0.13,1.04,25,0,0,0,0,0,0
Gregore,Al Rayyan,Al Rayyan,"RDMF, DMF",31,2500000,8,680,20.51,53.55,right,181,9.4,9.26,51.43,4.5,52.94,0.4,0.26,4.24,7.33,2.51,0.66,0,0,0.07,0,0.26,50,0,0,0.13,0,0.53,100,4.1,54.84,0.93,1.46,0.13,35.6,0.26,1.19,50.56,89.01,18.26,80.43,91.83,3.44,53.85,0.03,0.53,0,0,0,0,7.54,75.44,1.19,55.56,0.26,100,0.53,0,9.13,81.16,0,0,0,0,0,0
J. Kouassi,Umm Salal,Umm Salal,"LAMF, LW",31,900000,9,678,15.13,29.82,right,180,3.19,2.12,31.25,3.45,30.77,0,0,2.52,3.02,1.33,1.86,0.27,0.27,0.13,0,1.06,75,25,0,0.8,16.67,2.92,31.82,8.1,27.87,2.39,2.92,0.4,12.08,1.99,1.86,18.45,76.26,4.91,56.76,81.89,0.8,16.67,0.03,0.4,0.27,0,0,0.13,1.86,78.57,1.86,57.14,0,0,1.19,0.13,3.32,72,0,0,0,0,0,0
David García,Al Rayyan,Al Rayyan,"LCB, CB",31,10000000,9,673,8.29,62.9,right,186,6.15,2.81,71.43,4.28,56.25,0.4,0.53,3.74,5.32,0.8,0.4,0,0,0.02,0,0.27,0,0,0.13,0.27,100,0.13,100,0.13,100,0.67,0.4,0,23.4,0.27,0.27,35.71,89.51,16.18,80.99,94.04,4.01,53.33,0.04,0.13,0,0,0,0.27,5.22,76.92,0.4,66.67,0.27,50,0.27,0.27,6.29,76.6,0,0,0,0,0,0
R. Danzabe,Qatar SC,Qatar SC,"CF, DMF, RCMF",21,0,10,673,16.45,36.59,,0,4.95,6.82,43.14,1.6,25,0.13,0.13,1.87,2.75,2.81,1.07,0,0,0.06,0,0.4,33.33,0,0.13,1.74,23.08,0.94,42.86,5.88,31.82,0.67,0.53,0,17.92,0.8,0.94,29.96,74.55,9.09,58.82,83.78,3.61,33.33,0.02,0.4,0,0,0.13,0.13,4.15,54.84,2.14,31.25,0.27,50,0.4,0.53,3.74,60.71,0,0,0,0,0,0
M. Mitrovi?,Al Ahli,Al Ahli,"LCB, CB",32,800000,8,670,5.24,76.92,right,187,7.39,2.28,82.35,1.48,72.73,0.27,0.67,5.24,7.13,0,0,0,0,0.04,0,0.13,0,0,0,0,0,0,0,0.4,33.33,0.13,1.61,0,42.18,0.54,0.27,54,89.3,20.01,79.19,94.54,4.84,36.11,0,0,0.13,0,0,0,3.22,58.33,0.27,0,0.81,0,0,0,7.79,63.79,0,0,0,0,0,0
Moameen Mutasem,Al Shahaniya,Al Shahaniya,"RCMF, LDMF",23,150000,10,669,11.43,49.41,right,0,8.34,5.38,67.5,2.15,56.25,0,0.27,4.71,6.21,1.21,0.13,0,0,0,0,0.13,0,0,0.13,0,0,0.27,50,2.29,17.65,0.94,0.27,0,11.57,0.27,0.13,19.64,78.77,5.52,63.41,81.68,2.02,53.33,0.03,0.27,0,0,0,0.13,1.48,81.82,0.27,50,0,0,0.27,0,2.69,50,0,0,0,0,0,0
Hilal Mohammed,Al Ahli,Al Ahli,LB,32,350000,7,664,11.39,52.38,left,167,9.08,6.23,56.52,1.63,50,1.22,0.14,4.34,5.96,1.22,0.54,0,0,0.01,0,0.27,50,0,0,0.54,25,0.41,66.67,2.44,38.89,0.27,0.27,0,26.02,1.49,0.95,33.07,80.33,14.23,64.76,86.82,2.71,20,0.01,0.27,0,0,0,0,4.2,58.06,0.95,42.86,0.54,0,0.27,0.14,6.37,57.45,0,0,0,0,0,0
Paulo Otávio,Al Sadd,Al Sadd,"LB, LWB",31,3300000,7,664,14.37,52.83,left,173,7.86,6.91,60.78,0.81,33.33,0.14,0.14,3.52,5.42,1.76,3.12,0,0,0.02,0,0.54,50,0,0.14,5.02,32.43,2.58,42.11,5.02,51.35,1.9,1.49,0.14,25.89,2.44,1.08,34.97,75.58,12.33,69.23,88.44,3.25,33.33,0.05,0.27,0.14,0.14,0.14,0.41,4.07,63.33,4.34,34.38,0.27,50,0.95,1.08,5.42,70,0.14,0.14,0,0,0,0
M. Al Mannai,Al Shamal,Al Shamal,"LDMF, AMF, LCMF",22,0,8,663,15.61,41.74,right,189,7.6,6.52,50,3.94,27.59,1.36,0.14,2.99,4.65,2.58,1.63,0.68,0.68,0.29,0,1.49,72.73,45.455,0,0.14,0,1.09,37.5,2.71,40,1.49,0.27,0,15.2,0.68,1.09,21.99,76.54,7.47,58.18,80.69,2.17,43.75,0.03,0.54,0,0,0.27,0.14,3.94,55.17,1.22,44.44,0.41,33.33,0.27,0,2.04,66.67,0,0,0,0,0,0
S. Sano,Al Gharafa,Al Gharafa,"LCB, RB, RCB",21,0,8,655,9.76,56.34,left,194,8.79,3.85,64.29,2.34,64.71,0.82,0.41,5.5,7.89,0.96,0.69,0.55,0.55,0.12,0.27,0.82,66.67,66.667,0,0.55,0,0.14,100,1.92,35.71,0.82,0.41,0.14,23.08,0.96,0.55,35.18,81.25,14.29,70.19,93.09,8.93,50.77,0.05,0.41,0,0,0,0.14,4.67,58.82,0.82,33.33,0.14,0,0.55,0,7.56,70.91,0,0,0,0,0,0
D. Fettouhi,Al Ahli,Al Ahli,"RDMF, RCMF, LCMF",36,200000,10,647,13.35,61.46,left,185,6.82,5.15,67.57,2.64,63.16,0.42,0,2.92,4.77,0.97,1.67,0.14,0.14,0.09,0,2.23,25,6.25,0,0.83,66.67,0.97,57.14,4.73,50,0.7,0.97,0.14,46.32,0.7,1.67,58.7,87.44,18.5,73.68,91.76,7.51,61.11,0.09,0.83,0,0,0.28,0.14,9.6,71.01,1.53,45.45,0.97,0,0.42,0.56,8.35,81.67,0.97,0.42,0,2.5,0,0
Khaled Ali Sabah,Al Sailiya,Al Sailiya,"RAMF, RW, CF",24,150000,9,641,15.87,43.36,left,0,4.77,4.21,63.33,0.56,0,0.28,0,1.83,2.18,0.56,4.07,0.7,0.7,0.27,0.14,1.4,70,50,0,0.98,42.86,4.07,55.17,9.41,40.3,2.11,1.54,0,15.44,2.53,1.83,17.55,81.6,5.05,63.89,87.5,0.84,16.67,0.05,1.12,0,0,0.7,0.42,2.39,58.82,2.25,68.75,0.84,50,1.26,0.42,2.39,88.24,0.28,0,0,0.28,0,0
Moaz Elwadia,Al Shahaniya,Al Shahaniya,"LW, LAMF, RAMF",21,0,10,638,18.76,39.85,unknown,0,6.07,6.35,57.78,0.99,14.29,0,0.14,2.4,3.27,0.99,2.82,0,0,0.05,0,0.85,33.33,0,0,2.26,12.5,3.39,66.67,9.87,34.29,2.12,2.12,0,19.61,2.4,0.85,28.64,78.33,7.05,60,86.36,1.69,50,0.18,0.85,0,0,0.14,0.56,2.82,70,2.4,23.53,0.28,0,0.85,0.28,3.39,75,0,0,0,0,0,0
Álvaro Sanz,Al Shahaniya,Al Shahaniya,"LCMF, RCMF, RDMF",24,800000,10,638,11.85,61.9,right,170,6.77,4.8,79.41,1.27,22.22,0.28,0,2.68,3.68,0.56,1.27,0,0,0,0,0.28,0,0,0,0.71,20,1.41,80,4.51,59.38,0.85,1.41,0.56,25.67,0,1.69,36.68,86.92,11.29,75,89.26,1.83,69.23,0.11,1.13,0,0,0,0.28,6.49,89.13,1.83,46.15,0.28,50,1.13,0.14,6.63,70.21,1.55,0.14,0,2.12,0,0
B. Bourigeaud,Al Duhail,Al Duhail,"RDMF, AMF, RCMF",31,18000000,9,627,8.47,37.29,right,178,5.31,3.88,51.85,1.72,25,0,0,3.3,6.22,0.72,2.15,0.14,0,0.39,0,2.58,33.33,5.556,0.14,2.15,60,0.14,0,2.01,28.57,2.3,0.86,0.14,42.63,1.29,0.29,52.68,83.92,16.51,69.57,87.33,7.46,71.15,0.18,1.87,0.14,0,0,0.43,9.76,72.06,3.44,50,0.14,0,0.43,1.29,9.76,88.24,1.58,0,0,2.87,2,50
A. Tahif,Umm Salal,Umm Salal,"RCB, LCB",24,750000,6,621,5.36,62.16,right,181,7.25,2.32,50,2.17,73.33,0,1.74,6.09,6.77,0.14,0.29,0,0,0.03,0,0.58,50,0,0.14,0,0,0.14,0,0.43,66.67,0.58,0.29,0,11.16,0,0.43,21.01,81.38,8.41,68.97,85.27,2.32,50,0.01,0.29,0,0,0,0.14,1.74,66.67,0,0,0,0,0.14,0,4.64,46.88,0,0,0,0,0,0
M. Taabouni,Al Sailiya,Al Sailiya,"CF, LAMF, LW",23,650000,9,621,15.07,42.31,right,178,3.48,2.46,70.59,0.72,0,0,0,1.74,1.87,0.72,3.62,0,0,0.19,0,2.46,29.41,0,0.14,2.17,26.67,4.49,51.61,10.87,41.33,2.61,2.61,0.29,16.52,1.45,1.16,21.88,76.82,5.8,62.5,85.12,2.32,62.5,0.17,0.87,0.14,0,0.29,0.43,2.75,57.89,2.32,56.25,1.16,37.5,1.3,0.72,3.77,80.77,0.72,0.14,0,1.01,0,0
Lucas Mendes,Al Wakrah,Al Wakrah,LCB,35,500000,6,616,8.33,70.18,left,184,5.41,2.19,80,3.94,74.07,0.15,0,3.51,6.55,0.44,0.29,0,0,0.07,0,0.58,25,0,0,0.88,16.67,0,0,0.88,50,1.02,1.61,0,23.38,0.44,0.15,39.3,85.87,19.43,79.7,94.17,5.84,50,0,0,0,0,0,0,5.84,70,1.02,42.86,0.73,40,0.29,0.29,7.89,79.63,0,0,0,0,0,0
Akram Tawfik,Al Shamal,Al Shamal,"LDMF, RDMF, RCMF",28,800000,10,615,18.29,58.4,right,183,9.51,8.63,62.71,1.9,53.85,0.44,0.29,3.66,5.24,1.46,1.32,0,0,0.04,0,0.59,50,0,0.15,0.44,33.33,1.32,66.67,5.56,57.89,0.44,1.76,0,18.88,0.29,1.46,32.05,85.84,10.39,78.87,87.32,1.76,66.67,0.06,0.73,0,0.15,0.15,0.29,5.41,78.38,0.59,50,0.15,100,0.29,0.15,4.98,82.35,0,0,0,0,0,0
Pedro Miguel,Al Sadd,Al Sadd,"RCB, RB",35,225000,7,610,12.84,63.22,right,182,7.67,6.34,67.44,3.54,58.33,0.15,0,3.25,4.93,1.77,0.89,0.15,0.15,0.16,0,0.89,50,16.667,0.15,1.18,12.5,0.3,100,1.92,61.54,1.48,1.18,0,25.23,1.18,1.03,38.07,84.11,14.02,81.05,90.75,3.39,43.48,0.1,0.3,0,0,0.15,0.15,4.57,64.52,1.03,28.57,0.59,25,0.44,0.44,6.2,64.29,0,0,0,0,0,0
L. Kalvach,Qatar SC,Qatar SC,"DMF, RDMF, LCMF",30,2300000,6,606,11.29,60.53,right,183,9.21,5.79,76.92,2.08,21.43,0.74,0.59,4.01,5.63,0.59,1.49,0.15,0.15,0.04,0,0.59,50,25,0.15,0.74,100,0.74,60,2.23,53.33,0.59,0.45,0,17.67,0.45,0.59,29.26,86.29,9.95,71.64,90.96,4.01,55.56,0.04,0.3,0.15,0,0,0.3,4.9,78.79,0.59,75,0,0,0.15,0.3,5.94,75,0,0,0,0.59,0,0
I. Dayo,Umm Salal,Umm Salal,"RCB, CB, LCB",34,800000,7,606,5.94,50,right,187,7.57,3.71,40,1.78,66.67,0,0.89,6.09,8.2,0.89,0.15,0,0,0.01,0,0.15,100,0,0,0,0,0.15,0,0.3,50,0,0.3,0,13.81,0,0,26.73,80.56,14.26,69.79,87.58,4.01,40.74,0.01,0.15,0,0,0,0,2.97,35,0.3,0,0.15,0,0,0,5.05,55.88,0,0,0,0,0,0
Simo,Al Arabi,Al Arabi,RCB,20,0,7,603,9.85,56.06,right,183,7.91,3.88,65.38,2.39,62.5,0.3,1.19,5.07,8.36,1.19,0.9,0.15,0.15,0.25,0.15,1.34,33.33,11.111,0,0.15,100,0.6,25,1.94,46.15,1.94,0.9,0,28.06,0.45,0.45,42.09,89.36,18.36,83.74,93.63,4.48,53.33,0.01,0.3,0,0,0.15,0,4.78,75,0,0,0.3,0,0.3,0.15,7.31,71.43,0,0,0,0,0,0
Yousef Hassan,Al Arabi,Al Arabi,GK,29,250000,6,601,0.9,83.33,right,186,1.35,0,0,0.15,100,0,0,1.35,2.2,0,0.15,0,0,0,0,0,0,0,0.15,0,0,0.15,100,0.45,100,0,0,0,8.09,0.15,0.3,12.73,87.06,6.74,75.56,96.97,2.85,52.63,0,0,0,0,0,0.15,0.3,50,0,0,0,0,0,0,2.85,47.37,,,,0,0,0
Ahmed Mawla,Al Ahli,Al Ahli,"RB, RW",22,25000,7,601,16.17,58.33,right,0,8.24,8.39,60.71,1.5,70,0.9,0,2.25,3.33,0.9,0.75,0,0,0,0,0,0,0,0,1.5,20,0.9,50,4.34,51.72,0.75,0.75,0,24.11,3.59,1.8,31.15,80.77,8.69,70.69,87.36,2.55,47.06,0.05,0.3,0,0,0,0.45,2.55,64.71,1.2,37.5,0.45,33.33,0.3,0.3,4.79,59.38,0,0,0,0,0,0
Gerard Valentín,Al Wakrah,Al Wakrah,"RAMF, RW",32,800000,8,601,18.87,51.59,right,177,5.39,5.24,68.57,1.2,25,0.15,0,1.65,2.5,1.35,3.74,0,0,0.02,0,0.45,0,0,0.3,3,30,5.24,51.43,9.88,50,2.7,3,0.75,13.18,1.8,1.05,20.52,69.34,6.59,68.18,77.98,1.5,50,0.06,0.45,0,0,0.15,0.45,2.4,75,2.4,50,0.15,100,1.05,0.6,3.74,64,0,0,0,0,0,0
