Player,Team,Team within selected timeframe,Position,Age,Market value,Matches played,Minutes played,Duels per 90,"Duels won, %",Foot,Height,Successful defensive actions per 90,Defensive duels per 90,"Defensive duels won, %",Aerial duels per 90,"Aerial duels won, %",Sliding tackles per 90,Shots blocked per 90,Interceptions per 90,PAdj Interceptions,Fouls per 90,Successful attacking actions per 90,Goals per 90,Non-penalty goals per 90,xG per 90,Head goals per 90,Shots per 90,"Shots on target, %","Goal conversion, %",Assists per 90,Crosses per 90,"Accurate crosses, %",Dribbles per 90,"Successful dribbles, %",Offensive duels per 90,"Offensive duels won, %",Touches in box per 90,Progressive runs per 90,Accelerations per 90,Received passes per 90,Received long passes per 90,Fouls suffered per 90,Passes per 90,"Accurate passes, %",Forward passes per 90,"Accurate forward passes, %","Accurate short / medium passes, %",Long passes per 90,"Accurate long passes, %",xA per 90,Shot assists per 90,Second assists per 90,Third assists per 90,Smart passes per 90,Key passes per 90,Passes to final third per 90,"Accurate passes to final third, %",Passes to penalty area per 90,"Accurate passes to penalty area, %",Through passes per 90,"Accurate through passes, %",Deep completions per 90,Deep completed crosses per 90,Progressive passes per 90,"Accurate progressive passes, %",Free kicks per 90,Direct free kicks per 90,"Direct free kicks on target, %",Corners per 90,Penalties taken,"Penalty conversion, %"
Rúben Lameiras,Al Sailiya,Al Sailiya,"AMF, RW",30,500000,2,65,6.92,20,left,174,1.38,1.38,0,0,0,0,0,1.38,2.5,1.38,0,0,0,0.02,0,2.77,0,0,0,1.38,0,0,0,5.54,25,0,0,0,16.62,1.38,0,23.54,82.35,5.54,100,85.71,2.77,100,0,0,0,0,0,0,2.77,100,1.38,100,0,0,1.38,0,5.54,100,1.38,0,0,1.38,0,0
Abdallah Al Muftah,Qatar SC,Qatar SC,"RCB, LCB",27,150000,2,53,1.7,0,right,0,6.79,1.7,0,0,0,0,0,6.79,10.91,1.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.4,0,0,11.89,57.14,5.09,0,50,5.09,66.67,0,0,0,0,0,0,1.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mohammed Al Bakri,Al Wakrah,Al Wakrah,GK,28,100000,1,53,0,0,right,181,5.09,0,0,0,0,0,0,5.09,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.49,0,0,13.58,100,5.09,100,100,3.4,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.4,100,,,,0,0,0
T. Ali Ali,Al Ahli,Al Ahli,RCMF,34,0,1,52,20.77,50,right,173,5.19,8.65,60,3.46,0,0,0,0,0,1.73,1.73,0,0,0.27,0,1.73,100,0,0,0,0,1.73,0,8.65,60,1.73,0,0,25.96,0,0,31.15,83.33,20.77,75,76.92,8.65,100,0,0,0,0,0,0,6.92,75,0,0,1.73,100,1.73,0,13.85,87.5,0,0,0,0,0,0
Adel Al Sulimane,Al Shamal,Al Shamal,"RDMF, RCMF, RAMF",30,325000,2,52,12.12,85.71,right,173,8.65,8.65,100,0,0,0,0,0,0,1.73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.65,1.73,0,13.85,87.5,6.92,75,87.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.73,0,0,0,0,0,0,0
M. Achour,Al Arabi,Al Arabi,AMF,,0,1,49,11.02,50,,0,1.84,0,0,0,0,0,0,1.84,2.5,0,0,0,0,0.48,0,1.84,0,0,0,0,0,5.51,0,9.18,40,0,1.84,0,14.69,3.67,1.84,25.71,85.71,9.18,60,85.71,0,0,0,0,0,0,0,0,3.67,50,1.84,0,0,0,0,0,3.67,100,0,0,0,0,0,0
Salem Al Sufiani,Al Sailiya,Al Sailiya,"RCB, RB",22,0,2,47,13.4,57.14,right,186,7.66,7.66,75,3.83,50,0,1.91,1.91,2.73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.91,0,0,1.91,0,19.15,0,0,26.81,92.86,17.23,88.89,91.67,3.83,100,0,0,0,0,0,0,5.74,100,0,0,0,0,0,0,11.49,83.33,0,0,0,0,0,0
Nasser Al Ahrak,Umm Salal,Umm Salal,"DMF, RCMF",26,0,2,44,,,right,168,,,,,,,,,3.75,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0
Mohammed Alaa Eldin,Al Wakrah,Al Wakrah,"RB, RW",31,125000,3,43,,,right,176,,,,,,,,,0,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0
K. Ahmed Nasser,Al Sailiya,Al Sailiya,RAMF,,0,1,40,,,,0,,,,,,,,,0,,,,,,,,,33.333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0
